trail_name,difficulty,latitude,longitude,details
Le Morne Brabant Summit,4,-20.4553,57.3136,3-4 hour challenging climb to UNESCO heritage site. 556m elevation. Stunning 360-degree views. Start early to avoid heat.
Tamarind Falls (7 Cascades),3,-20.3983,57.4436,2-3 hour hike through lush forest to 7 waterfalls. Swimming possible. Guide recommended for full trail.
Black River Peak,4,-20.4333,57.4667,4-5 hour trek to highest point in Mauritius (828m). Birdwatching paradise. Cool climate year-round.
Le Pouce Mountain,2,-20.1833,57.5500,2 hour moderate hike. 812m peak. Popular weekend hike with city views. Well-marked trail.
Lions Mountain,3,-20.4167,57.4833,3 hour moderate hike. Unique rock formation resembling a lion. Part of Black River Gorges.
Corps de Garde,3,-20.2833,57.4667,2-3 hour moderate climb. 720m elevation. Panoramic views of west coast. Rocky terrain.
Pieter Both,5,-20.1500,57.5667,4-5 hour very difficult climb. Requires rock climbing skills. Iconic peak visible from Port Louis.
Trois Mamelles,2,-20.3167,57.4833,1.5-2 hour easy trail. Three breast-shaped peaks. Family-friendly. Nature interpretation center.
Ebony Forest Reserve Trail,2,-20.4167,57.4500,2 hour easy conservation area walk. Rare ebony trees. Guided tours available.
Tamarin Falls Trek,3,-20.3264,57.3753,3 hour hike to series of waterfalls. Rappelling option. Swimming spots along the way.
