activity,category,segment,location,latitude,longitude,description
Snorkeling,widespread,couple,Blue Bay Marine Park,-20.4444,57.7086,Explore vibrant coral reefs and tropical fish in crystal clear protected waters
Scuba Diving,widespread,couple,Trou aux Biches,-20.0397,57.5458,PADI certified diving with visibility up to 30 meters
Catamaran Cruise,widespread,team,Grand Baie,-20.0092,57.5805,"Full day sailing with BBQ lunch, snorkeling stops, and dolphin watching"
Kite Surfing,niche,single,Le Morne,-20.4553,57.3136,World-renowned kite surfing spot with consistent trade winds
Kayaking,widespread,couple,Ile aux Cerfs,-20.2833,57.7958,Paddle through turquoise lagoons and mangrove channels
Parasailing,widespread,single,Flic en Flac,-20.2729,57.3667,Soar 100 meters above the ocean with panoramic island views
Submarine Tour,underrated,team,Trou aux Biches,-20.0397,57.5458,Explore underwater world without getting wet in a real submarine
Jet Skiing,widespread,couple,Grand Baie,-20.0092,57.5805,High-speed water adventure along the north coast
Stand Up Paddleboarding,widespread,single,Tamarin Bay,-20.3264,57.3753,Calm bay perfect for beginners and fitness enthusiasts
Deep Sea Fishing,niche,team,Black River,-20.3500,57.3667,"Catch marlin, tuna, and dorado in the Indian Ocean"
Speed Boat Tour,widespread,team,Ile aux Cerfs,-20.2833,57.7958,Island hopping adventure with beach stops and BBQ
Wakeboarding,niche,single,Grand Baie,-20.0092,57.5805,Thrilling water sport for adrenaline seekers
