name,location,description,latitude,longitude
Flic en Flac Beach,Flic en Flac,Long white sand beach perfect for swimming and snorkeling. Popular with locals and tourists. Many restaurants nearby.,-20.2729,57.3667
Grand Baie Beach,Grand Baie,Lively beach with calm waters. Water sports hub. Vibrant nightlife and shopping area.,-20.0092,57.5805
Le Morne Beach,Le Morne,Stunning beach at foot of Le Morne mountain. UNESCO site. World-class kite surfing.,-20.4553,57.3136
Trou aux Biches Beach,Trou aux Biches,Pristine white sand beach with crystal clear water. Excellent snorkeling. Family-friendly.,-20.0397,57.5458
Belle Mare Beach,Belle Mare,Powdery white sand stretching for miles. Turquoise waters. Ideal for long walks.,-20.2000,57.7667
Blue Bay Beach,Blue Bay,Marine park with incredible coral reefs. Perfect for snorkeling. Glass-bottom boat tours.,-20.4444,57.7086
Tamarin Beach,Tamarin,Popular surfing spot. Black sand in some areas. Dolphin watching tours depart from here.,-20.3264,57.3753
Pereybere Beach,Grand Baie,Small sheltered beach. Calm waters perfect for children. Local food stalls nearby.,-20.0167,57.5833
Ile aux Cerfs Beach,Trou dEau Douce,Idyllic island beach accessible by boat. Water sports paradise. Restaurants and beach clubs.,-20.2833,57.7958
Mont Choisy Beach,Trou aux Biches,3km of white sand. Less crowded than nearby beaches. Popular for picnics.,-20.0167,57.5500
La Cuvette Beach,Grand Baie,Hidden gem protected by rocks. Calm waters. Sunset views. Snorkeling spots.,-20.0100,57.5850
Riambel Beach,Riambel,Secluded beach with local charm. Horse riding on beach. Authentic village atmosphere.,-20.4667,57.5167
