name,location,contact_number,speciality,latitude,longitude,description
La Voglia Matta,Grand Baie,+230 263 8067,Italian Cuisine,-20.0092,57.5805,Authentic Italian restaurant with fresh pasta and wood-fired pizzas
The Beach House,Trou aux Biches,+230 265 6575,Seafood,-20.0397,57.5458,Beachfront dining with fresh catch of the day
Domaine Anna,Flic en Flac,+230 453 5023,Creole Cuisine,-20.2729,57.3667,Traditional Mauritian Creole in garden setting
Château Mon Désir,Mapou,+230 266 1236,Fine Dining,-20.0833,57.6333,Elegant colonial mansion serving fusion cuisine
Happy Rajah,Grand Baie,+230 263 8748,Indian Cuisine,-20.0092,57.5805,Authentic North Indian tandoori and curries
Le Chamarel Restaurant,Chamarel,+230 483 6421,Creole Fine Dining,-20.4219,57.3847,Farm-to-table cuisine with mountain views
Sands Supper Club,Le Morne,+230 401 4200,International,-20.4553,57.3136,Gourmet dining on the beach with live music
Lambic Restaurant,Pointe aux Canonniers,+230 209 1000,Belgian Cuisine,-20.0333,57.5833,Belgian specialties and craft beers
La Terrasse,Port Louis,+230 211 9560,French Cuisine,-20.1644,57.5034,Rooftop dining with harbor views
Chez Tino,Trou dEau Douce,+230 480 2769,Seafood,-20.2333,57.7833,Fresh lobster and grilled fish by the beach
Le Fangourin,Pamplemousses,+230 243 9135,Mauritian,-20.1074,57.5808,Restaurant in historic rum distillery
Deer Hunter,Quatre Bornes,+230 424 3046,Venison Specialties,-20.2667,57.4833,Wild game meats and local delicacies
LExil,Chamarel,+230 483 4974,Contemporary Mauritian,-20.4219,57.3847,Modern take on Creole classics
Escale Creole,Mahebourg,+230 631 9356,Street Food,-20.4083,57.7000,Authentic Mauritian street food experience
Blue Bamboo,Grand Baie,+230 263 1058,Chinese & Thai,-20.0092,57.5805,Asian fusion in beachfront setting
