activity,place,latitude,longitude,category,description
Quad Biking,Chamarel,-20.4219,57.3847,widespread,Adventure through sugarcane fields and rugged volcanic terrain
Ziplining,Casela Nature Park,-20.3061,57.3947,widespread,Fly through the canopy with 7 ziplines over valleys
ATV Adventure,Domaine de lEtoile,-20.4167,57.6833,widespread,Explore 1200 hectares of pristine nature reserve
Segway Tour,Pamplemousses,-20.1074,57.5808,underrated,Glide through botanical gardens and historical sites
Horse Riding,Riambel Beach,-20.4667,57.5167,niche,Beach and countryside horseback riding at sunset
Mountain Biking,Black River Gorges,-20.4167,57.4833,niche,Technical trails through national park forests
Golf,Ile aux Cerfs Golf Club,-20.2833,57.7958,niche,Championship 18-hole course by Bernhard Langer
Buggy Safari,Chamarel,-20.4219,57.3847,widespread,Off-road adventure to waterfalls and viewpoints
Rock Climbing,Le Pouce Mountain,-20.1833,57.5500,niche,Climbing routes for beginners to advanced
Skydiving,Belle Mare,-20.2000,57.7667,niche,Tandem jumps with views of the entire island
